Day,Date,Time,Court 1,,,,Court 2,,,
,,,#,Team 1,Team 2,#,#,Team 1,Team 2,#
Monday,7/8/2019,6:30 PM,2,Chafing The Dream,What’s The Score,20,3,Block Party,Stars & Spikes,11
,,7:45 PM,1,Aces High,Croc O Shit,19,5,Bumpin Uglies,Ron’s Rockin Dinosaurs,10
,,9:00 PM,4,Deepak’s Virgins,Rons Rockers,18,3,Choke On That Block,The Goodfellas,17
Tuesday,7/9/2019,6:30 PM,5,Disqualified,Power Blackout,11,5,Bumpin Uglies,Vollyagra,13
,,7:45 PM,6,Here For Beer,Questionably Athletic,12,4,Blockbusters,Volleylama,12
,,9:00 PM,7,Just The Tip,Natty’s Daddy,9,8,Monkey,One Hit Wonders,10
Wednesday,7/10/2019,6:30 PM,4,Phillippas,Smack,7,3,Little Rascals,The Goonies,8
,,7:45 PM,#,Blue,Blue,#,#,Blue,Blue,#
,,9:00 PM,13,Sand Sweat & Beers,Croc O Shit,19,1,Ball Smashers 2,It’s All Good,7
Thursday,7/11/2019,6:30 PM,3,Little Rascals,Phillippas,4,6,Half Spiked,Stars & Spikes,11
,,7:45 PM,1,Ginger Ninjas,Legends,2,14,Scared Hitless,What’s The Score,20
,,9:00 PM,15,Soldner,The Goodfellas,17,2,Beer Pressure,La Cabana Fiesta,8
Friday,7/12/2019,6:30 PM,16,Spiked Punch,Rons Rockers,18,1,Ball Smashers 2,Old Diggers,9
,,7:45 PM,1,Aces High,Monkey,8,2,Beer Pressure,Ron’s Rockin Dinosaurs,10
,,9:00 PM,2,Chafing The Dream,Just The Tip,7,5,Bumpin Uglies,Volleylama,12
Monday,7/15/2019,6:30 PM,3,Choke On That Block,Here For Beer,6,6,Half Spiked,Vollyagra,13
,,7:45 PM,4,Deepak’s Virgins,Disqualified,5,3,Block Party,Old Diggers,9
,,9:00 PM,10,One Hit Wonders,Soldner,15,9,Natty’s Daddy,Spiked Punch,16
Tuesday,7/16/2019,6:30 PM,3,Choke On That Block,Rons Rockers,18,7,It’s All Good,Volleylama,12
,,7:45 PM,4,Deepak’s Virgins,The Goodfellas,17,4,Blockbusters,Ron’s Rockin Dinosaurs,10
,,9:00 PM,11,Power Blackout,Scared Hitless,14,12,Questionably Athletic,Sand Sweat & Beers,13
Wednesday,7/17/2019,6:30 PM,7,Smack,The Goonies,8,5,Plan B,Shamwow,6
,,7:45 PM,2,Legends,Little Rascals,3,1,Ginger Ninjas,ZeePellz,9
